Price,Close,High,Low,Open,Volume
Ticker,CAT,CAT,CAT,CAT,CAT
Date,,,,,
2020-01-02,134.88148498535156,134.89940969137336,132.59657034290504,133.51053893439257,3311900
2020-01-03,133.00877380371094,134.3707645146464,132.12168531988618,133.30446996498586,3100600
2020-01-06,132.91912841796875,133.11625913947788,131.30624691132266,131.96036870203145,2549600
2020-01-07,131.1628875732422,132.22918181581315,130.3833202189227,132.03205109840292,2841900
2020-01-08,132.32772827148438,133.1252202974668,131.2345675261584,131.56609932299736,2153200
2020-01-09,131.99624633789062,132.58763869015135,131.27940836598796,132.4442683612614,2272500
2020-01-10,130.9389190673828,132.36362580007233,130.67010312266572,132.1216900825723,2393700
2020-01-13,131.5572052001953,131.56616071934187,130.41922533135963,131.29734474691358,3355200
2020-01-14,131.4317169189453,132.5965767609421,131.10018504049023,132.12167457246227,2742200
2020-01-15,130.43710327148438,131.48547288274824,130.1055577662672,131.01952627578316,2640500
2020-01-16,132.4979705810547,132.5517310126229,131.0374287241342,131.20766553325316,3070900
2020-01-17,133.34616088867188,133.78830699685645,132.2814194182976,132.83184058626367,3331500
2020-01-21,131.60472106933594,133.42741616417695,131.46034509099673,132.82285724438896,2476700
2020-01-22,128.69918823242188,132.24533455379355,128.59993149279723,131.96561476988254,3602400
2020-01-23,128.80751037597656,129.2225879211217,126.14564163678352,127.95931861257985,3182700
2020-01-24,126.66896057128906,128.76235687589053,125.65834263982197,128.62701302136102,2526200
2020-01-27,122.47312927246094,124.34997551986733,122.32876707531422,123.52885270504268,2920500
2020-01-28,123.38447570800781,124.16047921944616,122.37385783850432,123.63712673327163,2763800
2020-01-29,122.51826477050781,124.30487283481789,122.41900800202104,124.15147851414774,2620000
2020-01-30,122.14830780029297,122.68971086491474,119.92858552593779,121.59788639969318,3862600
2020-01-31,118.52093505859375,121.80541249465757,117.7900369081209,120.74968907968524,6785700
2020-02-03,117.09523010253906,120.15412465065761,116.6711344003369,118.60211777631075,4385300
2020-02-04,120.4699478149414,121.61590957603104,119.72101304310793,120.00976495109381,3501600
2020-02-05,124.01608276367188,124.04315152844198,122.21142501395242,122.31068174092484,4448100
