Price,Close,High,Low,Open,Volume
Ticker,HD,HD,HD,HD,HD
Date,,,,,
2020-02-25,210.4346160888672,218.93603641133248,209.6367684303842,218.1647958488642,8061500
2020-02-26,208.5730438232422,213.67921346336905,207.72202231325923,211.95943688331175,6963000
2020-02-27,199.22055053710938,208.16522950045268,199.07872266190367,204.8408977302518,7612800
2020-02-28,193.1126708984375,195.96716523593145,188.22812364477173,193.81300445842257,11809600
2020-03-02,203.83917236328125,203.8923595101792,193.68888151910105,195.0097407562047,7150800
2020-03-03,202.06622314453125,209.05175796937925,199.96524939235204,203.91898115918477,8432500
2020-03-04,213.7146759033203,213.9274380395282,205.48806267768046,206.56070632171455,6770000
2020-03-05,208.1564178466797,212.41156648300517,206.6848432991316,209.74324025841668,6473900
2020-03-06,202.5714874267578,204.14943591482358,197.0220741449893,201.73819957798867,7399900
2020-03-09,186.57041931152344,191.64112227325634,183.72478460899663,189.59333552343756,10120500
2020-03-10,200.08047485351562,200.19572270038364,187.04909510376754,192.55419527636082,7206600
2020-03-11,189.98719787597656,195.57373936915388,187.85431569143802,193.922771368339,7253900
2020-03-12,170.08621215820312,184.35600343255473,164.95480054845729,174.3876802525607,10928700
2020-03-13,183.54388427734375,183.6777553488718,169.55967483428964,178.8854542267279,10292300
2020-03-16,147.21353149414062,166.07927979234623,145.5625499186085,162.39358278009118,12536600
2020-03-17,154.95974731445312,155.9771051696679,138.59277421921507,150.11391515644775,16234400
2020-03-18,138.8872833251953,144.86649263723734,125.50098772335018,142.608671868439,14681900
2020-03-19,143.7955780029297,145.3840838401861,126.72358628218521,136.68299252855718,13499100
2020-03-20,135.78164672851562,151.90767662864204,135.47822731022853,145.2680721351603,12602400
2020-03-23,144.92002868652344,147.18676864140645,130.59669035644274,133.91649259577056,12241600
2020-03-24,164.8477325439453,165.69552835277213,153.50507461002744,154.73661788811248,14676600
2020-03-25,162.20616149902344,170.942955926329,160.63550809980973,164.58000060908063,11497400
2020-03-26,174.20925903320312,176.8775852733148,162.8665984329433,163.7500988554176,10170300
2020-03-27,170.05055236816406,175.25336011311578,166.43625037386235,168.21217022643938,7121700
2020-03-30,175.0034637451172,176.877536464249,167.42681753260007,170.068385158876,6936700
2020-03-31,166.62368774414062,174.45913160033135,165.49923021003636,173.84335983017783,7335400
2020-04-01,159.4128875732422,163.0985705694724,156.1734006759892,156.9855056276419,7858200
2020-04-02,161.8045654296875,163.06288009999764,155.28098154470015,156.12877728370887,6353900
2020-04-03,159.47537231445312,161.84029231384375,156.1198796780899,160.24285367913492,7299800
2020-04-06,170.74664306640625,171.71045786488722,165.2136442904532,167.77488417540053,7454000
2020-04-07,171.60333251953125,182.1517371066746,171.21067939435986,181.08975576712655,6438800
2020-04-08,173.86119079589844,175.60140627030574,170.93404201728328,173.3168143021359,6094700
2020-04-09,179.84934997558594,183.82954802666717,175.36047975123168,178.30546763080818,7125100
2020-04-13,177.40406799316406,178.88548764449365,174.35199491005483,178.88548764449365,4415600
2020-04-14,184.88255310058594,187.16714492733348,178.59992557703015,180.16165976048163,5655400
2020-04-15,177.12742614746094,180.48293232647518,175.4586059683713,177.29698803849516,5693900
2020-04-16,178.3500518798828,180.4561625550796,175.64602174238226,177.69857580628656,7262800
2020-04-17,186.89048767089844,187.63119748051466,183.98120504023242,184.88254382152311,6717600
2020-04-20,183.88307189941406,188.3273179506787,183.26730016117241,183.9544671055972,4753100
2020-04-21,179.02828979492188,182.35701096541183,178.04662282479467,179.15322798955242,4845000
2020-04-22,182.20530700683594,183.57964080826181,179.5012767244078,180.17059142039977,4067700
2020-04-23,180.5543212890625,184.70406655193506,180.43830239557334,181.4467407965397,3565500
2020-04-24,189.3535919189453,190.02290664625897,181.9197483307552,182.705068351078,5025200
2020-04-27,194.33328247070312,197.17118381069665,190.9867090520385,191.90590012831902,5472800
2020-04-28,194.21726989746094,200.09831142970998,193.57472673580867,199.89305874722822,5080700
2020-04-29,197.9475860595703,200.05369682581204,196.17167979965257,197.52814776505136,4381100
2020-04-30,196.18063354492188,198.21534946758226,193.22672637725458,193.46766990321163,5152700
2020-05-01,195.05616760253906,196.06459253783083,192.557389882588,193.44980952419604,3819300
