Price,Close,High,Low,Open,Volume
Ticker,MCD,MCD,MCD,MCD,MCD
Date,,,,,
2020-03-02,181.53768920898438,181.53768920898438,173.13971337146077,173.70436224281593,6154200
2020-03-03,178.81300354003906,184.33397385213877,176.70679867408307,181.04469805822325,5115200
2020-03-04,185.54396057128906,185.66943656731286,180.05883381802326,180.98198157645348,4260400
2020-03-05,177.74652099609375,182.75661763156128,175.96295635253884,181.6183621215609,4107200
2020-03-06,178.23045349121094,178.87576247082612,171.3740626776205,172.8887321990311,6360100
2020-03-09,167.4752960205078,174.295841352692,165.00162110058105,168.2012650907116,7788500
2020-03-10,179.12677001953125,179.2522460447281,168.39852199968539,171.14107917603195,5835200
2020-03-11,168.7211456298828,175.43414593575667,166.5521954918394,172.9246122164486,5625100
2020-03-12,152.4808807373047,161.18356695683346,151.80868502067167,156.64848871008655,9079300
2020-03-13,158.7547149658203,160.8519624191169,150.7510971415384,159.7674805940653,8042600
2020-03-16,133.55181884765625,145.1225492279296,132.3149882250582,140.80257921987837,9341300
2020-03-17,132.30604553222656,133.9730915529759,120.99523599544531,132.66455814069062,13708200
2020-03-18,123.05663299560547,127.00914712594307,111.34250247885404,123.23588245309311,12627600
2020-03-19,133.9910125732422,138.77704278361924,114.90962288704512,121.17447820063026,12773400
2020-03-20,133.08580017089844,144.78199522375442,132.44049115994477,137.6567230433199,12000000
2020-03-23,122.87738800048828,137.31615319056152,122.33962593263918,128.12050662065832,10660400
2020-03-24,145.14947509765625,146.07262289008227,130.94374558381145,133.5428971725308,11678400
2020-03-25,146.07261657714844,153.58328826846488,142.70268007986564,147.8830676589405,9708700
2020-03-26,149.98931884765625,153.19792194221327,144.29805469822065,146.97788063735462,8259900
2020-03-27,146.9957733154297,152.1313590983199,142.70268880318392,145.89337602745988,6441400
2020-03-30,150.68838500976562,152.6422276678656,146.60143653062946,147.8113808252936,5621700
2020-03-31,148.19679260253906,151.92522874332684,147.88309571703755,149.53221301737258,4519900
2020-04-01,141.76156616210938,144.6923427467162,140.1303786513,143.5989034992691,4668900
